SIGNAL,LAT,LNG,TIME1,PED,county,High Temp,Low Temp,Precipitation,"Daily Case Rate / 100,000",AQI,Category
5323,41.77771152,-111.8339579,2018-01-01,3.64500525676129,Cache,39.07399999999995,16.75399999999999,0.0,,53,Moderate
5323,41.77771152,-111.8339579,2018-01-02,19.9741804370128,Cache,37.255999999999965,14.684000000000031,0.0,,60,Moderate
5323,41.77771152,-111.8339579,2018-01-03,11.4691681712365,Cache,39.32600000000003,15.18799999999998,0.0,,74,Moderate
5323,41.77771152,-111.8339579,2018-01-04,12.3280683228552,Cache,38.695999999999984,16.71800000000002,0.0,,95,Moderate
5323,41.77771152,-111.8339579,2018-01-05,28.4791927027892,Cache,43.123999999999945,22.62199999999997,0.0,,120,Unhealthy for Sensitive Groups
5323,41.77771152,-111.8339579,2018-01-06,12.5061191231727,Cache,36.878,26.58199999999995,0.1755905511811023,,96,Moderate
5323,41.77771152,-111.8339579,2018-01-07,1.21500175225376,Cache,41.55799999999994,27.37399999999995,0.0,,73,Moderate
5323,41.77771152,-111.8339579,2018-01-08,22.4041839415204,Cache,41.86399999999997,23.59400000000001,0.0,,44,Good
5323,41.77771152,-111.8339579,2018-01-09,14.9361226276802,Cache,44.74400000000001,34.195999999999984,0.3224409448818897,,51,Moderate
5323,41.77771152,-111.8339579,2018-01-10,24.3000350450753,Cache,42.026000000000025,28.50799999999994,0.0610236220472441,,39,Good
5323,41.77771152,-111.8339579,2018-01-11,20.1522312373304,Cache,42.31399999999997,27.536000000000005,0.0,,34,Good
5323,41.77771152,-111.8339579,2018-01-12,30.2283468559956,Cache,47.44400000000001,32.72,0.0,,35,Good
5323,41.77771152,-111.8339579,2018-01-13,12.5061191231727,Cache,47.53400000000003,25.52,0.0,,30,Good
5323,41.77771152,-111.8339579,2018-01-14,8.68306306609389,Cache,45.15799999999994,24.368000000000023,0.0,,33,Good
5323,41.77771152,-111.8339579,2018-01-15,12.5061191231727,Cache,44.11399999999997,24.49400000000001,0.0,,38,Good
5323,41.77771152,-111.8339579,2018-01-16,38.5553083214544,Cache,45.229999999999976,19.579999999999977,0.0,,33,Good
5323,41.77771152,-111.8339579,2018-01-17,31.0872470076143,Cache,47.065999999999946,23.88199999999995,0.0,,47,Good
5323,41.77771152,-111.8339579,2018-01-18,33.8733521127569,Cache,51.00799999999994,30.34400000000001,0.0,,54,Moderate
5323,41.77771152,-111.8339579,2018-01-19,16.3291751802516,Cache,52.30399999999999,30.16399999999997,0.2940944881889764,,42,Good
5323,41.77771152,-111.8339579,2018-01-20,7.46806131384012,Cache,32.30599999999996,23.27,0.0,,37,Good
5323,41.77771152,-111.8339579,2018-01-21,10.0761156186652,Cache,32.68400000000003,15.728000000000002,0.0,,34,Good
5323,41.77771152,-111.8339579,2018-01-22,21.5330704664514,Cache,30.75799999999994,12.739999999999958,0.0137795275590551,,41,Good
5323,41.77771152,-111.8339579,2018-01-23,39.5922592733906,Cache,34.30399999999999,18.049999999999937,0.0,,64,Moderate
5323,41.77771152,-111.8339579,2018-01-24,24.6561366457104,Cache,39.11000000000002,18.41000000000001,0.0,,72,Moderate
5323,41.77771152,-111.8339579,2018-01-25,8.68306306609389,Cache,43.48400000000003,23.59400000000001,0.0437007874015748,,53,Moderate
5323,41.77771152,-111.8339579,2018-01-26,25.5341773238478,Cache,36.86000000000002,19.76000000000002,0.0,,34,Good
5323,41.77771152,-111.8339579,2018-01-27,10.4322172193003,Cache,38.17399999999995,23.431999999999952,0.0,,33,Good
5323,41.77771152,-111.8339579,2018-01-28,4.86000700901505,Cache,47.40799999999994,32.881999999999955,0.0,,38,Good
5323,41.77771152,-111.8339579,2018-01-29,25.1780757232127,Cache,48.95599999999996,27.82399999999995,0.0,,45,Good
5323,41.77771152,-111.8339579,2018-01-30,23.4411348934566,Cache,52.44799999999996,35.276000000000025,0.0,,38,Good
5323,41.77771152,-111.8339579,2018-01-31,23.263084093139,Cache,47.839999999999954,35.06000000000002,0.0,,42,Good
5323,41.77771152,-111.8339579,2018-02-01,46.1892071121618,Cache,49.37,32.953999999999986,0.0,,36,Good
5323,41.77771152,-111.8339579,2018-02-02,16.5072259805691,Cache,51.67399999999995,35.09599999999998,0.0,,40,Good
5323,41.77771152,-111.8339579,2018-02-03,30.5722351331804,Cache,53.83400000000003,38.66000000000002,0.0,,34,Good
5323,41.77771152,-111.8339579,2018-02-04,11.1130665706014,Cache,51.35000000000004,37.81399999999997,0.0,,34,Good
5323,41.77771152,-111.8339579,2018-02-05,18.403077084124,Cache,50.684000000000026,36.24799999999996,0.0,,36,Good
5323,41.77771152,-111.8339579,2018-02-06,43.918113881453,Cache,43.68199999999995,29.768000000000026,0.0,,38,Good
5323,41.77771152,-111.8339579,2018-02-07,15.7950227792989,Cache,50.86399999999997,28.99400000000001,0.0,,36,Good
5323,41.77771152,-111.8339579,2018-02-08,29.0011317802915,Cache,53.32999999999998,32.79200000000004,0.0,,32,Good
5323,41.77771152,-111.8339579,2018-02-09,47.8545090839028,Cache,54.19400000000001,36.01399999999997,0.0,,38,Good
5323,41.77771152,-111.8339579,2018-02-10,10.0761156186652,Cache,42.60200000000001,24.24200000000004,0.0,,38,Good
5323,41.77771152,-111.8339579,2018-02-11,3.64500525676129,Cache,41.72,19.778,0.0,,35,Good
5323,41.77771152,-111.8339579,2018-02-12,27.0861401502179,Cache,43.628,26.51000000000002,0.0,,39,Good
5323,41.77771152,-111.8339579,2018-02-13,23.9630739709589,Cache,41.57600000000003,23.773999999999948,0.0,,36,Good
